Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
16-01-2025,23377.25,23391.65,23272.05,23311.8,299416081,29784.82,0.424758327,0.008581926,23628.39,23964.5619,23964.5619,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
17-01-2025,23277.1,23292.1,23100.35,23203.2,272945267,27040.78,-0.465858492,0.008383956,23590.965,23946.85581,23946.85581,2025-01,"(-0.772, -0.419]",0%,10%,26104.2,21743.65
20-01-2025,23290.4,23391.1,23170.65,23344.75,301455455,27333.97,0.610045166,0.007897363,23578.8275,23933.17159,23933.17159,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
21-01-2025,23421.65,23426.3,22976.85,23024.65,312871897,30106.72,-1.371186241,0.008213484,23542.3875,23912.98222,23912.98222,2025-01,"(-1.478, -1.125]",2%,10%,26104.2,21743.65
22-01-2025,23099.15,23169.55,22981.3,23155.35,275951918,25462.05,0.567652494,0.008370203,23513.7725,23896.51196,23896.51196,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
23-01-2025,23128.3,23270.8,23090.65,23205.35,275558357,27723.78,0.215932819,0.008390789,23486.53,23881.80638,23881.80638,2025-01,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
24-01-2025,23183.9,23347.3,23050,23092.2,264336332,24412.46,-0.487603074,0.008380988,23450.47,23865.35625,23865.35625,2025-01,"(-0.772, -0.419]",0%,10%,26104.2,21743.65
27-01-2025,22940.15,23007.45,22786.9,22829.15,257372790,24202.41,-1.13912923,0.008585079,23409.6825,23844.20918,23844.20918,2025-01,"(-1.478, -1.125]",0%,10%,26104.2,21743.65
28-01-2025,22960.45,23137.95,22857.65,22957.25,361868609,33221.8,0.561124702,0.008734632,23375.305,23826.47,23826.47,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
29-01-2025,23026.75,23183.35,22976.5,23163.1,251208119,22307.38,0.89666663,0.00896034,23346.315,23820.656,23813.46275,2025-01,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
30-01-2025,23169.5,23322.05,23139.2,23249.5,384687127,35252.87,0.373007067,0.00774453,23299.3575,23815.276,23802.61731,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
31-01-2025,23296.75,23546.8,23277.4,23508.4,326919177,28638.01,1.113572335,0.008147591,23274.54,23818.446,23797.06604,2025-01,"(0.994, 1.347]",-1%,10%,26104.2,21743.65
01-02-2025,23528.6,23632.45,23318.3,23482.15,287703637,25741.04,-0.111662214,0.007325126,23267.845,23809.944,23791.23426,2025-02,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
