Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,MA20,MA50,MA200,Volatility20,Price_Change_%
24-01-2025,23183.9,23347.3,23050,23092.2,264336332,24412.46,-0.004876031,23450.47,23865.35625,23865.35625,0.008380988,-0.395533107
27-01-2025,22940.15,23007.45,22786.9,22829.15,257372790,24202.41,-0.011391292,23409.6825,23844.20918,23844.20918,0.008585079,-0.483867804
28-01-2025,22960.45,23137.95,22857.65,22957.25,361868609,33221.8,0.005611247,23375.305,23826.47,23826.47,0.008734632,-0.013937009
29-01-2025,23026.75,23183.35,22976.5,23163.1,251208119,22307.38,0.008966666,23346.315,23820.656,23813.46275,0.00896034,0.592137405
30-01-2025,23169.5,23322.05,23139.2,23249.5,384687127,35252.87,0.003730071,23299.3575,23815.276,23802.61731,0.00774453,0.345281512
31-01-2025,23296.75,23546.8,23277.4,23508.4,326919177,28638.01,0.011135723,23274.54,23818.446,23797.06604,0.008147591,0.90849582
01-02-2025,23528.6,23632.45,23318.3,23482.15,287703637,25741.04,-0.001116622,23267.845,23809.944,23791.23426,0.007325126,-0.197419311
03-02-2025,23319.35,23381.6,23222,23361.05,347241171,32019.13,-0.005157109,23250.5025,23792.727,23783.41273,0.007334807,0.178821451
04-02-2025,23509.9,23762.75,23423.15,23739.25,376742506,35974.3,0.016189341,23253.0175,23783.622,23782.62411,0.008250589,0.975546472
05-02-2025,23801.75,23807.3,23680.45,23696.3,267014345,25806.44,-0.00180924,23261.5075,23772.05,23781.10965,0.008101158,-0.443034651
06-02-2025,23761.95,23773.55,23556.25,23603.35,306978683,30885.59,-0.003922553,23270.1,23765.834,23778.04483,0.008097877,-0.667453639
07-02-2025,23649.5,23694.5,23443.2,23559.95,368092482,30042,-0.001838722,23293.8,23754.411,23774.34831,0.007302723,-0.37865494
10-02-2025,23543.8,23568.6,23316.3,23381.6,225529166,21254.72,-0.00757005,23304.0775,23736.522,23767.8025,0.007513736,-0.68892872
11-02-2025,23383.55,23390.05,22986.65,23071.8,267969979,27191.96,-0.013249735,23297.0075,23708.815,23756.39262,0.008106326,-1.333202187
12-02-2025,23050.8,23144.7,22798.35,23045.25,279656513,26989.94,-0.001150755,23283.68,23680.371,23744.92258,0.008037419,-0.024077255
13-02-2025,23055.75,23235.5,22992.2,23031.4,265706855,25218.86,-0.000600992,23275.09,23646.831,23733.59683,0.007979097,-0.105613567
14-02-2025,23096.45,23133.7,22774.85,22929.25,254479643,22049.89,-0.004435249,23254.315,23611.86,23721.02891,0.007878579,-0.723920776
17-02-2025,22809.9,22974.2,22725.45,22959.5,207393944,19809.44,0.001319276,23251.0575,23578.67,23709.31308,0.007283337,0.655855571
18-02-2025,22963.65,22992.5,22801.5,22945.3,210616675,19431.37,-0.00061848,23240.555,23545.375,23697.73712,0.007154698,-0.079908899
19-02-2025,22847.25,23049.95,22814.85,22932.9,206999204,19817.93,-0.000540416,23226.9325,23511.197,23686.32164,0.007128669,0.374881003
20-02-2025,22821.1,22923.85,22812.75,22913.15,240836647,21303.88,-0.000861208,23217.98,23478.486,23674.95147,0.007057088,0.40335479
21-02-2025,22857.2,22921,22720.3,22795.9,242753984,21994.37,-0.005117149,23216.3175,23439.038,23662.21159,0.006670001,-0.26818683
24-02-2025,22609.35,22668.05,22518.8,22553.35,214317552,20772.95,-0.010640071,23196.1225,23396.74,23646.37071,0.00692868,-0.247685139
25-02-2025,22516.45,22625.3,22513.9,22547.55,250279519,24917.83,-0.000257168,23165.345,23360.971,23630.89437,0.006535696,0.13812124
27-02-2025,22568.95,22613.3,22508.4,22545.05,289230479,29775.64,-0.000110877,23130.1225,23327.895,23615.81319,0.006434976,-0.105897705
28-02-2025,22433.4,22450.35,22104.85,22124.7,551285287,52745.2,-0.018644891,23060.9375,23291.355,23595.38699,0.006788778,-1.376073177
03-03-2025,22194.55,22261.55,22004.7,22119.3,282399735,25942.05,-0.000244071,22992.795,23261.991,23575.43986,0.006804349,-0.339047199
04-03-2025,21974.45,22105.05,21964.6,22082.65,253260641,22979.56,-0.001656924,22928.875,23228.575,23555.536,0.006789944,0.492390026
05-03-2025,22073.05,22394.9,22067.8,22337.3,305942691,26371.61,0.011531678,22858.7775,23200.768,23539.50658,0.006154982,1.197161244
06-03-2025,22476.35,22556.45,22245.85,22544.7,372083680,30550.28,0.009284918,22801.1975,23176.658,23526.58701,0.006741868,0.304097418
07-03-2025,22508.65,22633.8,22464.75,22552.5,289765795,21446.95,0.000345979,22748.655,23151.44,23514.09872,0.006760875,0.194813994
10-03-2025,22521.85,22676.75,22429.05,22460.3,293855491,22330.86,-0.004088239,22693.6725,23127.748,23500.75949,0.006772326,-0.27329016
11-03-2025,22345.95,22522.1,22314.7,22497.9,347924102,29208.22,0.001674065,22649.4875,23104.81,23488.22375,0.006713602,0.679988991
12-03-2025,22536.35,22577.4,22329.55,22470.5,369736725,33406.41,-0.001217891,22619.4225,23079.362,23475.65926,0.006159544,-0.29219461
13-03-2025,22541.5,22558.05,22377.35,22397.2,287535243,22855.58,-0.003262055,22587.02,23043.533,23462.50732,0.006174899,-0.640152607
17-03-2025,22353.15,22577,22353.15,22508.75,251102239,24122.27,0.004980533,22560.8875,23013.613,23451.01627,0.006337239,0.69609876
18-03-2025,22662.25,22857.8,22599.2,22834.3,272578844,26387.47,0.014463264,22556.14,22997.978,23443.6744,0.007172095,0.759192048
19-03-2025,22874.95,22940.7,22807.95,22907.6,323992121,26994.95,0.003210083,22553.545,22981.972,23437.36765,0.007205324,0.142732552
20-03-2025,23036.6,23216.7,22973.95,23190.65,313729818,27573.99,0.012356161,22565.8125,22972.006,23434.49884,0.007720743,0.668718474
21-03-2025,23168.25,23402.7,23132.8,23350.4,540966316,51005.67,0.006888552,22586.6875,22968.484,23433.53218,0.007842742,0.786205259
24-03-2025,23515.4,23708.75,23433.5,23658.35,311900413,28871.35,0.013188211,22623.9475,22973.021,23436.08693,0.008290136,0.607899504
25-03-2025,23751.5,23869.6,23601.4,23668.65,338216746,35415.03,0.000435364,22667.585,22984.675,23438.7,0.008143824,-0.348820075
26-03-2025,23700.95,23736.5,23451.7,23486.85,278590831,26877.28,-0.007681046,22714.26,22990.891,23439.235,0.007927802,-0.903339318
27-03-2025,23433.95,23646.45,23412.2,23591.95,510302142,46481.84,0.004474844,22766.48,22998.466,23440.91319,0.007925627,0.674235458
28-03-2025,23600.4,23649.2,23450.2,23519.35,387455531,29156.37,-0.003077321,22815.195,23002.617,23441.76576,0.008000452,-0.343426383
01-04-2025,23341.1,23565.15,23136.4,23165.7,375118343,30680.7,-0.015036555,22867.245,23001.867,23438.79731,0.00753396,-0.751464156
02-04-2025,23192.6,23350,23158.45,23332.35,340970371,24334.3,0.007193825,22927.8975,23001.619,23437.66489,0.007583701,0.602562886
03-04-2025,23150.3,23306.5,23145.8,23250.1,283196379,23501.33,-0.003525149,22986.27,23006.128,23435.69053,0.0076514,0.431095925
04-04-2025,23190.4,23214.7,22857.45,22904.45,466776198,33761.96,-0.014866603,23014.6275,23001.11,23430.15677,0.008281768,-1.233053332
07-04-2025,21758.4,22254,21743.65,22161.6,647107618,49172.14,-0.032432562,22995.4725,22980.235,23417.07887,0.010976517,1.853077432
08-04-2025,22446.75,22697.2,22270.85,22535.85,468250807,37226.82,0.016887319,22994.64,22969.108,23408.08673,0.011668678,0.396939423
09-04-2025,22460.3,22468.7,22353.25,22399.15,383822618,28996.55,-0.006065891,22991.5825,22960.508,23397.89545,0.011713691,-0.272258162
11-04-2025,22695.4,22923.9,22695.4,22828.55,402162001,33683.6,0.01917037,23008.115,22957.934,23392.202,0.012479177,0.586682764
15-04-2025,23368.35,23368.35,23207,23328.55,388321931,34216.17,0.021902399,23051.0175,22961.243,23391.57178,0.013324268,-0.170315833
16-04-2025,23344.1,23452.2,23273.05,23437.2,348424960,28102.36,0.004657383,23103.0175,22964.997,23392.01912,0.013278501,0.398815975
17-04-2025,23401.85,23872.35,23298.55,23851.65,505333905,38450.09,0.017683426,23170.1625,22971.862,23396.48155,0.013707514,1.922070264
21-04-2025,23949.15,24189.55,23903.65,24125.55,406145632,33125.62,0.011483482,23234.725,22984.73,23403.49183,0.013591968,0.736560588
22-04-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29,0.001728458,23297.7075,23000.854,23410.76571,0.013593895,-0.075045275
23-04-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08,0.006690873,23354.6225,23012.648,23419.42783,0.013441765,-0.117622426
24-04-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29,-0.003380746,23399.4375,23023.656,23427.15935,0.013460824,-0.128511939
25-04-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86,-0.008551679,23418.4875,23032.376,23432.82778,0.013384936,-1.027831529
28-04-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82,0.012028195,23451.48,23047.747,23441.04495,0.013613526,1.072901195
29-04-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88,0.000306225,23493.935,23066.834,23449.18045,0.013447266,-0.142589257
30-04-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48,-7.19E-05,23531.0475,23092.082,23457.1536,0.013439227,-0.032248722
02-05-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27,0.00051368,23572.415,23118.111,23465.09598,0.013396861,0.143139779
05-05-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36,0.004700842,23637.1875,23146.706,23473.91062,0.012803963,0.170560413
06-05-2025,24500.75,24509.65,24331.8,24379.6,302354059,26481.15,-0.003333858,23689.55,23175.713,23481.85526,0.012830308,-0.494474659
07-05-2025,24233.3,24449.6,24220,24414.4,330137191,27648.34,0.001427423,23747.765,23204.811,23489.96435,0.012760048,0.747318772
08-05-2025,24431.5,24447.25,24150.2,24273.8,411362230,36893.06,-0.005758896,23816.2325,23231.381,23496.72155,0.012259446,-0.645478174
09-05-2025,23935.75,24164.25,23935.75,24008,335550680,28942.61,-0.010950078,23908.5525,23252.883,23501.09145,0.009658763,0.301849744
12-05-2025,24420.1,24944.8,24378.85,24924.7,368707684,30362.27,0.038183106,24027.995,23293.114,23513.15593,0.012030654,2.066330605
13-05-2025,24864.05,24973.8,24547.5,24578.35,422977876,34576.66,-0.013895854,24136.955,23328.763,23522.10714,0.012530763,-1.149048526
14-05-2025,24613.8,24767.55,24535.55,24666.9,345490805,25585.37,0.003602764,24228.8725,23371.034,23531.64708,0.012061039,0.215732638
15-05-2025,24694.45,25116.25,24494.45,25062.1,500821889,44147.39,0.01602147,24315.55,23421.325,23544.29545,0.011665483,1.488796066
16-05-2025,25064.65,25070,24953.05,25019.8,432717092,43815.86,-0.001687807,24394.68,23470.82,23556.38975,0.011722907,-0.178937268
19-05-2025,25005.35,25062.95,24916.65,24945.45,255254340,21598.6,-0.002971646,24449.37,23527.235,23567.68293,0.011294503,-0.239548737
20-05-2025,24996.2,25010.35,24669.7,24683.9,414799113,31063.03,-0.010484878,24477.2875,23578.527,23576.68468,0.011422326,-1.249389907
21-05-2025,24744.25,24946.2,24685.35,24813.45,332724952,23179.85,0.00524836,24509.5975,23633.143,23586.5788,0.011457865,0.279660931
22-05-2025,24733.95,24737.5,24462.4,24609.7,403279638,30579.52,-0.008211273,24523.635,23678.591,23594.69881,0.011578354,-0.502345966
23-05-2025,24639.5,24909.05,24614.05,24853.15,270470348,20200.73,0.009892441,24553.9575,23724.76,23604.60787,0.011715549,0.867103634
26-05-2025,24919.35,25079.2,24900.5,25001.15,302799227,20060.68,0.00595498,24602.0475,23773.733,23615.51836,0.011520941,0.328258963
27-05-2025,24956.65,25062.9,24704.1,24826.2,525653668,33638.3,-0.006997678,24626.9325,23821.051,23624.90349,0.011436737,-0.522706373
28-05-2025,24832.5,24864.25,24737.05,24752.45,684425321,37143.55,-0.002970652,24647.7575,23866.142,23633.57692,0.01147174,-0.322359811
29-05-2025,24825.1,24892.6,24677.3,24833.6,345370611,29730.05,0.003278463,24672.7275,23913.404,23642.7374,0.011481097,0.03423954
30-05-2025,24812.6,24863.95,24717.4,24750.7,853890978,52247.87,-0.003338219,24692.9275,23960.474,23651.13106,0.011523293,-0.249470027
02-06-2025,24669.7,24754.4,24526.15,24716.6,311100908,25091.04,-0.001377739,24705.7,24004.631,23659.14211,0.011497498,0.190111757
03-06-2025,24786.3,24845.1,24502.15,24542.5,349288937,28906.4,-0.007043849,24713.845,24038.795,23665.73433,0.01159352,-0.98360788
04-06-2025,24560.45,24644.25,24530.45,24620.2,280862575,21907.07,0.003165937,24724.135,24073.047,23672.80444,0.011608169,0.243277302
05-06-2025,24691.2,24899.85,24613.1,24750.9,388405978,30186.46,0.005308649,24747.99,24104.252,23680.73162,0.011558647,0.241786547
06-06-2025,24748.7,25029.5,24671.45,25003.05,335581057,30041.71,0.010187508,24797.7425,24137.305,23690.38358,0.0113698,1.027730749
09-06-2025,25160.1,25160.1,25077.15,25103.2,279219989,25606.21,0.004005511,24806.6675,24166.202,23700.62138,0.00760521,-0.226151724
10-06-2025,25196.05,25199.3,25055.45,25104.25,307323471,28813.93,4.18E-05,24832.9625,24194.914,23710.71942,0.00682652,-0.364342824
11-06-2025,25134.15,25222.4,25081.3,25141.4,301245273,25871.18,0.001479829,24856.6875,24228.005,23720.93857,0.006801708,0.028845217
12-06-2025,25164.45,25196.2,24825.9,24888.2,328310748,29573.27,-0.010071038,24847.9925,24253.93,23729.21702,0.006243238,-1.097778811
13-06-2025,24473,24754.35,24473,24718.6,318711364,24838.56,-0.006814474,24832.9325,24277.915,23736.18451,0.006405086,1.003554938
16-06-2025,24732.35,24967.1,24703.6,24946.5,305813047,23857.15,0.009219778,24832.985,24313.531,23744.64825,0.006737583,0.865870004
17-06-2025,24977.85,24982.05,24813.7,24853.4,242415740,21818.05,-0.003731986,24841.46,24343.952,23752.34792,0.006340765,-0.498241442
18-06-2025,24788.35,24947.55,24750.45,24812.05,237599011,22044.05,-0.001663756,24841.39,24375.191,23759.65621,0.006248071,0.095609429
19-06-2025,24803.25,24863.1,24733.4,24793.25,274619935,23620.79,-0.000757696,24850.5675,24412.967,23766.73562,0.005946545,-0.040317297
20-06-2025,24787.65,25136.2,24783.65,25112.4,574654035,55782.03,0.012872455,24863.53,24471.983,23775.8898,0.006227897,1.310128229
23-06-2025,24939.75,25057,24824.85,24971.9,248534153,20797.88,-0.005594846,24862.0675,24520.704,23783.97095,0.006234588,0.128910675
24-06-2025,25179.9,25317.7,24999.7,25044.35,450185468,35508.9,0.002901261,24872.975,24573.608,23792.42987,0.00604316,-0.538326205
25-06-2025,25150.35,25266.8,25125.05,25244.75,260582584,22985.17,0.008001805,24897.59,24621.932,23802.112,0.006211528,0.375342689
26-06-2025,25268.95,25565.3,25259.9,25549,428891818,38689.39,0.012052011,24933.36,24666.341,23813.68079,0.006673295,1.108277154
27-06-2025,25576.65,25654.2,25523.55,25637.8,563957748,47108.6,0.003475674,24977.715,24710.353,23825.68158,0.00658981,0.239085259
30-06-2025,25661.65,25669.35,25473.3,25517.05,270981274,24673.48,-0.004709842,25017.7375,24743.661,23836.73627,0.006714857,-0.563486759
01-07-2025,25551.35,25593.4,25501.8,25541.8,260669106,23921.02,0.00096994,25067.7025,24771.986,23847.80812,0.00640274,-0.037375716
02-07-2025,25588.3,25608.1,25378.75,25453.4,309828013,26681.66,-0.003460993,25109.3625,24797.709,23858.16677,0.006510712,-0.527194069
03-07-2025,25505.1,25587.5,25384.35,25405.3,293428797,24531.7,-0.001889728,25142.0825,24819.236,23868.08429,0.00649884,-0.39129429
04-07-2025,25428.85,25470.25,25331.65,25461,193511595,19101.33,0.002192456,25164.98,24843.522,23878.23025,0.006162221,0.126431199
07-07-2025,25450.45,25489.8,25407.25,25461.3,196051345,16923.26,1.18E-05,25182.885,24871.961,23888.24968,0.00612175,0.042631859
08-07-2025,25427.85,25548.05,25424.15,25522.5,210410530,21947.32,0.002403648,25203.7975,24895.841,23898.52799,0.006130626,0.372229662
09-07-2025,25514.6,25548.7,25424.35,25476.1,239081546,20549.5,-0.001818004,25220.5325,24918.644,23908.38781,0.006156927,-0.150893998
10-07-2025,25511.65,25524.05,25340.45,25355.25,219609322,21435.36,-0.004743662,25243.885,24939.065,23917.37453,0.005770459,-0.613053252
11-07-2025,25255.5,25322.45,25129,25149.85,249987681,26251.65,-0.008100886,25265.4475,24955.128,23924.98241,0.005867859,-0.418324721
14-07-2025,25149.5,25151.1,25001.95,25082.3,259533624,23316.33,-0.002685901,25272.2375,24967.551,23932.08252,0.005573977,-0.267202131
15-07-2025,25089.5,25245.2,25088.45,25195.8,241340130,23282.7,0.004525103,25289.3575,24983.875,23939.78811,0.005566482,0.423683214
16-07-2025,25196.6,25255.3,25121.05,25212.05,228815928,22254.54,0.000644949,25309.3575,24999.828,23947.49879,0.005538774,0.061317797
17-07-2025,25230.75,25238.35,25101,25111.45,243412540,24715.35,-0.003990156,25325.2675,25016.581,23954.51054,0.005633419,-0.472835726
18-07-2025,25108.55,25144.6,24918.65,24968.4,316979826,26330.8,-0.005696605,25318.0675,25035.789,23960.58174,0.005009093,-0.558176398
21-07-2025,24999,25111.4,24882.3,25090.7,305216414,26062.25,0.004898191,25324.0075,25039.109,23967.30863,0.004972015,0.366814673
22-07-2025,25166.65,25182,25035.55,25060.9,483725120,31248.06,-0.001187691,25324.835,25048.76,23973.77959,0.00494119,-0.420198954
23-07-2025,25139.35,25233.5,25085.5,25219.9,271539651,23042.49,0.006344545,25323.5925,25059.82,23981.10971,0.004812958,0.320414012
24-07-2025,25243.3,25246.25,25018.7,25062.1,338728860,27433.34,-0.006256964,25299.2475,25059.82,23987.43129,0.004077302,-0.717814232
25-07-2025,25010.35,25010.35,24806.35,24837,278136104,25273.64,-0.008981689,25259.2075,25056.164,23992.37064,0.004309922,-0.693113051
28-07-2025,24782.45,24889.2,24646.6,24680.9,262142969,24976.54,-0.006284978,25217.4,25050.873,23996.35058,0.004383947,-0.409765782
29-07-2025,24609.65,24847.15,24598.6,24821.1,284657235,25954.42,0.005680506,25181.365,25053.617,24001.09052,0.004650828,0.859215795
30-07-2025,24890.4,24902.3,24771.95,24855.05,243886726,23525.25,0.001367788,25151.4475,25054.449,24005.97029,0.004664605,-0.142022627
31-07-2025,24642.25,24956.5,24635,24768.35,346303628,30477.71,-0.003488225,25119.6,25057.622,24010.30199,0.004691054,0.511722753
01-08-2025,24734.9,24784.15,24535.05,24565.35,263357194,24972.45,-0.008195944,25074.8175,25051.866,24013.43785,0.004860915,-0.68546871
04-08-2025,24596.05,24736.25,24554,24722.75,259329477,20372.68,0.006407399,25037.89,25046.298,24017.42275,0.005184439,0.515123363
05-08-2025,24720.25,24733.1,24590.3,24649.55,251849778,23815.36,-0.002960836,24994.2425,25042.765,24020.95419,0.00511241,-0.286000344
06-08-2025,24641.35,24671.4,24539.2,24574.2,225091071,20559.22,-0.003056851,24949.1475,25039.2,24024.02778,0.005121079,-0.27250942
07-08-2025,24464.2,24634.2,24344.15,24596.15,616739190,35574.59,0.000893213,24911.1925,25034.451,24027.18867,0.005104945,0.539359554
08-08-2025,24544.25,24585.5,24337.5,24363.3,312630157,38135.74,-0.009466929,24871.865,25026.703,24029.03544,0.005205962,-0.737239883
11-08-2025,24371.5,24600.85,24347.45,24585.05,241145497,21081.61,0.009101805,24847.0025,25024.072,24032.07377,0.005715817,0.876228382
12-08-2025,24563.35,24702.6,24465.65,24487.4,237002462,22258.29,-0.003971926,24811.5825,25022.97,24034.54837,0.005599287,-0.309200496
13-08-2025,24586.2,24664.55,24535.25,24619.35,236006791,22843.14,0.005388486,24781.9475,25022.953,24037.70946,0.005788192,0.134831735
14-08-2025,24607.25,24673.65,24596.9,24631.3,270162203,22375.44,0.000485391,24757.94,25020.561,24040.90081,0.005759985,0.097735424
18-08-2025,24938.2,25022,24852.85,24876.95,363071305,37637.67,0.009973083,24753.3675,25018.039,24045.37166,0.006133808,-0.245607141
19-08-2025,24891.35,25012.65,24873.95,24980.65,252340828,24781.97,0.004168517,24747.865,25015.588,24050.34654,0.006104202,0.358759167
20-08-2025,24965.8,25088.7,24929.7,25050.55,287054119,25330.45,0.002798166,24747.3475,25014.514,24055.63862,0.006135316,0.339464387
21-08-2025,25142,25153.65,25054.9,25083.75,226542052,21865.07,0.00132532,24740.54,25013.361,24061.04974,0.00596223,-0.231684035
22-08-2025,25064.15,25084.85,24859.15,24870.1,210165384,19655.78,-0.008517466,24730.94,25012.999,24065.2856,0.006101814,-0.774213368
25-08-2025,24949.15,25021.55,24894.35,24967.75,213032133,19871.25,0.003926402,24737.4775,25017.982,24069.98594,0.005818726,0.074551638
26-08-2025,24899.5,24919.65,24689.6,24712.05,750473927,47068.2,-0.010241211,24739.035,25013.293,24073.31269,0.006113391,-0.752826362
